cell ID:  0 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.53
cell ID:  1447 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.79
cell ID:  1448 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.83
cell ID:  1449 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.63
cell ID:  1450 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.36
cell ID:  1451 	 	 real cell type: T.CD8.Naive 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.64
cell ID:  1452 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.54
cell ID:  1453 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.33
cell ID:  1454 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.75
cell ID:  1455 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.91
cell ID:  1456 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.95
cell ID:  1457 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.93
cell ID:  1458 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.46
cell ID:  1459 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.67
cell ID:  1460 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.48
cell ID:  1461 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.82
cell ID:  1462 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.81
cell ID:  1463 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.31
cell ID:  1464 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.58
cell ID:  1465 	 	 real cell type: T.CD8.Naive 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.77
cell ID:  1466 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.95
cell ID:  1467 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.84
cell ID:  1468 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.81
cell ID:  1469 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.53
cell ID:  1470 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.76
cell ID:  1471 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.92
cell ID:  1472 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.84
cell ID:  1473 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.93
cell ID:  1474 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.78
cell ID:  1475 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.69
cell ID:  1476 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.94
cell ID:  1477 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.98
cell ID:  1478 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.94
cell ID:  1479 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.93
cell ID:  1480 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.61
cell ID:  1481 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.91
cell ID:  1482 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.79
cell ID:  1483 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.36
cell ID:  1484 	 	 real cell type: Mono.CD16 	 	 predicted cell type: Mono.CD16 	 	 probability: 0.87
cell ID:  1485 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.92
cell ID:  1486 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.28
cell ID:  1487 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.57
cell ID:  1488 	 	 real cell type: T.CD8.Naive 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.59
cell ID:  1489 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.49
cell ID:  1490 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.97
cell ID:  1491 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.29
cell ID:  1492 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.96
cell ID:  1493 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.62
cell ID:  1494 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.65
cell ID:  1495 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.26
cell ID:  1496 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.83
cell ID:  1497 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.96
cell ID:  1498 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.61
cell ID:  1499 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.92
cell ID:  1500 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.48
cell ID:  1501 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.94
cell ID:  1502 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.92
cell ID:  1503 	 	 real cell type: B.Activated 	 	 predicted cell type: B.Naive 	 	 probability: 0.94
cell ID:  1504 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.95
cell ID:  1505 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.92
cell ID:  1506 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.51
cell ID:  1507 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.97
cell ID:  1508 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.32
cell ID:  1509 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.83
cell ID:  1510 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.79
cell ID:  1511 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.73
cell ID:  1512 	 	 real cell type: T.CD8.Naive 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.39
cell ID:  1513 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.75
cell ID:  1514 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.71
cell ID:  1515 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.72
cell ID:  1516 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.39
cell ID:  1517 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.88
cell ID:  1518 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.92
cell ID:  1519 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.75
cell ID:  1520 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.8
cell ID:  1521 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.63
cell ID:  1522 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.4
cell ID:  1523 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.92
cell ID:  1524 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.93
cell ID:  1525 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.9
cell ID:  1526 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.83
cell ID:  1527 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.95
cell ID:  1528 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.89
cell ID:  1529 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.92
cell ID:  1530 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.7
cell ID:  1531 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.9
cell ID:  1532 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.58
cell ID:  1533 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.97
cell ID:  1534 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.91
cell ID:  1535 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.58
cell ID:  1536 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.48
cell ID:  1537 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.94
cell ID:  1538 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.55
cell ID:  1539 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.9
cell ID:  1540 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.8
cell ID:  1541 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.94
cell ID:  1542 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.83
cell ID:  1543 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.76
cell ID:  1544 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.97
cell ID:  1545 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.88
cell ID:  1546 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.96
cell ID:  1547 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.92
cell ID:  1548 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.65
cell ID:  1549 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.66
cell ID:  1550 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.93
cell ID:  1551 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.93
cell ID:  1552 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.91
cell ID:  1553 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.97
cell ID:  1554 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.84
cell ID:  1555 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.97
cell ID:  1556 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.47
cell ID:  1557 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.93
cell ID:  1558 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.77
cell ID:  1559 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.8
cell ID:  1560 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.45
cell ID:  1561 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.51
cell ID:  1562 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.48
cell ID:  1563 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.59
cell ID:  1564 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.42
cell ID:  1565 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.38
cell ID:  1566 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.57
cell ID:  1567 	 	 real cell type: T.CD8.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.46
cell ID:  1568 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.44
cell ID:  1569 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.65
cell ID:  1570 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.88
cell ID:  1571 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.93
cell ID:  1572 	 	 real cell type: T.CD8.Naive 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.57
cell ID:  1573 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.94
cell ID:  1574 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.97
cell ID:  1575 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.96
cell ID:  1576 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.77
cell ID:  1577 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.92
cell ID:  1578 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.88
cell ID:  1579 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.89
cell ID:  1580 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.96
cell ID:  1581 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.55
cell ID:  1582 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.76
cell ID:  1583 	 	 real cell type: B.Activated 	 	 predicted cell type: B.Activated 	 	 probability: 0.73
cell ID:  1584 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.24
cell ID:  1585 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.92
cell ID:  1586 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.89
cell ID:  1587 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.95
cell ID:  1588 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.94
cell ID:  1589 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.39
cell ID:  1590 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.95
cell ID:  1591 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.75
cell ID:  1592 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.59
cell ID:  1593 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.51
cell ID:  1594 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.57
cell ID:  1595 	 	 real cell type: T.CD8.Naive 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.93
cell ID:  1596 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.74
cell ID:  1597 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.83
cell ID:  1598 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.31
cell ID:  1599 	 	 real cell type: B.Activated 	 	 predicted cell type: B.Activated 	 	 probability: 0.67
cell ID:  1600 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.95
cell ID:  1601 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.94
cell ID:  1602 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.89
cell ID:  1603 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.68
cell ID:  1604 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.97
cell ID:  1605 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.77
cell ID:  1606 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.27
cell ID:  1607 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.51
cell ID:  1608 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.57
cell ID:  1609 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.96
cell ID:  1610 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.81
cell ID:  1611 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.8
cell ID:  1612 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.48
cell ID:  1613 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.94
cell ID:  1614 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.95
cell ID:  1615 	 	 real cell type: T.CD8.Naive 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.78
cell ID:  1616 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.67
cell ID:  1617 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.94
cell ID:  1618 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.9
cell ID:  1619 	 	 real cell type: T.CD8.Naive 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.67
cell ID:  1620 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.77
cell ID:  1621 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.8
cell ID:  1622 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.74
cell ID:  1623 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.97
cell ID:  1624 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.89
cell ID:  1625 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.43
cell ID:  1626 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.89
cell ID:  1627 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.96
cell ID:  1628 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.96
cell ID:  1629 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.57
cell ID:  1630 	 	 real cell type: Mono.CD16 	 	 predicted cell type: Mono.CD16 	 	 probability: 0.81
cell ID:  1631 	 	 real cell type: Mono.CD16 	 	 predicted cell type: Mono.CD16 	 	 probability: 0.83
cell ID:  1632 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.82
cell ID:  1633 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.82
cell ID:  1634 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.85
cell ID:  1635 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.93
cell ID:  1636 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.69
cell ID:  1637 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.92
cell ID:  1638 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.69
cell ID:  1639 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.72
cell ID:  1640 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.91
cell ID:  1641 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.98
cell ID:  1642 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.42
cell ID:  1643 	 	 real cell type: B.Activated 	 	 predicted cell type: B.Activated 	 	 probability: 0.64
cell ID:  1644 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.27
cell ID:  1645 	 	 real cell type: T.CD8.Naive 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.75
cell ID:  1646 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.62
cell ID:  1647 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.96
cell ID:  1648 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.45
cell ID:  1649 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.47
cell ID:  1650 	 	 real cell type: T.CD8.Naive 	 	 predicted cell type: T.CD8.Naive 	 	 probability: 0.84
cell ID:  1651 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.94
cell ID:  1652 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.69
cell ID:  1653 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.53
cell ID:  1654 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.68
cell ID:  1655 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.94
cell ID:  1656 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.91
cell ID:  1657 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.48
cell ID:  1658 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.96
cell ID:  1659 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.92
cell ID:  1660 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.96
cell ID:  1661 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.88
cell ID:  1662 	 	 real cell type: T.CD4.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.4
cell ID:  1663 	 	 real cell type: T.CD8.Naive 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.47
cell ID:  1664 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.49
cell ID:  1665 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.58
cell ID:  1666 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.8
cell ID:  1667 	 	 real cell type: Mono.CD14 	 	 predicted cell type: Mono.CD14 	 	 probability: 0.88
cell ID:  1668 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.78
cell ID:  1669 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.96
cell ID:  1670 	 	 real cell type: B.Activated 	 	 predicted cell type: B.Activated 	 	 probability: 0.31
cell ID:  1671 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.95
cell ID:  1672 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.47
cell ID:  1673 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.96
cell ID:  1674 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.94
cell ID:  1675 	 	 real cell type: B.Activated 	 	 predicted cell type: B.Activated 	 	 probability: 0.41
cell ID:  1676 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Memory 	 	 probability: 0.74
cell ID:  1677 	 	 real cell type: B.Activated 	 	 predicted cell type: B.Activated 	 	 probability: 0.51
cell ID:  1678 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.89
cell ID:  1679 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.95
cell ID:  1680 	 	 real cell type: T.CD8.Effector 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.89
cell ID:  1681 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD4.Naive 	 	 probability: 0.2
cell ID:  1682 	 	 real cell type: NK 	 	 predicted cell type: NK 	 	 probability: 0.67
cell ID:  1683 	 	 real cell type: NK 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.5
cell ID:  1684 	 	 real cell type: Mono.CD16 	 	 predicted cell type: Mono.CD16 	 	 probability: 0.96
cell ID:  1685 	 	 real cell type: T.CD4.Memory 	 	 predicted cell type: T.CD8.Effector 	 	 probability: 0.55
cell ID:  1686 	 	 real cell type: B.Naive 	 	 predicted cell type: B.Naive 	 	 probability: 0.94
